baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_1130100	842.903076763545	-1.26334224948798	0.201033285474638	-6.28424415641044	3.29452594056377e-10	9.35233551377541e-09
mal_rna_14	107.814050468414	-1.25848510395711	0.351332815840188	-3.58203118871071	0.000340933077587086	0.00243861108409534
PF3D7_0112200	436.169777065864	-1.25308141669407	0.274309612342056	-4.56812798499936	4.92099534152314e-06	5.77549375741553e-05
PF3D7_1341200	1499.99418371458	-1.25155594211241	0.202767370092761	-6.17237350141622	6.72723475251371e-10	1.79735883799513e-08
PF3D7_0618700	81.1729306865582	-1.25115958450206	0.383996283828034	-3.25825961654976	0.00112097802059627	0.00658665222451264
PF3D7_1402500	1515.21207701411	-1.24814930465206	0.212810459106062	-5.86507500568851	4.4892971494978e-09	9.89824643350437e-08
PF3D7_0821700	830.708164453512	-1.24603114607489	0.223136506255861	-5.58416534785268	2.34825214248864e-08	4.57757992754653e-07
PF3D7_0304400	1486.76371232956	-1.24120812860854	0.203654355202632	-6.09468001493787	1.09656572977984e-09	2.8298872412841e-08
PF3D7_0916900	103.144882372915	-1.2411309894006	0.360087651773325	-3.44674687756828	0.000567379904535991	0.00372943491519895
PF3D7_1426000	1504.91290258897	-1.23785454829405	0.196591732660368	-6.29657479255531	3.04294490721805e-10	8.69248790477004e-09
PF3D7_1351400	2291.89544643776	-1.2305850330477	0.183109317609103	-6.72049379636006	1.81109744990792e-11	6.47716899014314e-10
PF3D7_1105400	2280.96650024538	-1.22367173128978	0.185587278444906	-6.59351083513539	4.29545390572772e-11	1.46691365712897e-09
PF3D7_1113500	78.6031676887345	-1.22122935963288	0.382193081159548	-3.19532042790453	0.00139675672041492	0.00791031050389596
PF3D7_0607500	127.554761493318	-1.21962688948954	0.321767966680912	-3.79039250572451	0.000150409415468497	0.00118398538138287
PF3D7_1325600	80.0217437222621	-1.2150276985617	0.371919434517199	-3.26691101834722	0.00108727849055459	0.00643023294804552
PF3D7_0719600	1406.22944447535	-1.2130318145991	0.190606346419466	-6.36406833972667	1.96478651074304e-10	5.87109232354927e-09
PF3D7_1239600	153.571756609405	-1.20913774132379	0.31880937891181	-3.79266678242318	0.000149038086451183	0.0011772712846283
PF3D7_1302800	1254.98878239452	-1.20858640363554	0.200325360457704	-6.03311732909983	1.60826555936323e-09	3.9916623883212e-08
PF3D7_1332400	125.160522492319	-1.2030892955664	0.333244851017584	-3.61022621022558	0.000305930079430908	0.00222378975484423
PF3D7_0627900	263.62550881633	-1.20264405773523	0.289760754796745	-4.15047254614877	3.31789565125966e-05	0.000319277162034352
PF3D7_1204300	3710.48252199236	-1.19986112022873	0.192486389337649	-6.23348551737857	4.56169546820283e-10	1.25571035251983e-08
PF3D7_1003500	1124.14810906488	-1.19348826607667	0.204694782264676	-5.83057493147753	5.52367277189845e-09	1.18902946587501e-07
PF3D7_0705900	544.94764100316	-1.19196723089949	0.255746207850363	-4.66074254206305	3.15070636678035e-06	3.94228879281442e-05
PF3D7_0717300	103.901381130732	-1.19140326767081	0.337006309567711	-3.53525507934572	0.000407381700085502	0.00280778100423118
PF3D7_0527600	274.483804526773	-1.18661710882362	0.247394932171921	-4.79644873242195	1.61503267653517e-06	2.1200804672898e-05
PF3D7_1414300	1822.33684943078	-1.18659706930848	0.1940200828928	-6.11584662585726	9.60456678426524e-10	2.50712312265131e-08
PF3D7_0219200	916.732435681517	-1.18340012708886	0.203728715881277	-5.80870557186689	6.29576931596762e-09	1.33623290808995e-07
PF3D7_1457200	823.426621111599	-1.17853664033958	0.211369991876534	-5.57570462049311	2.46529933477548e-08	4.76618791723502e-07
PF3D7_1421200	1383.76782668016	-1.17751133095968	0.201803782927779	-5.83493190205006	5.38125406125573e-09	1.16945722230735e-07
PF3D7_1308200	680.420911528265	-1.17564556197741	0.256334763336448	-4.58636802388891	4.51023282548126e-06	5.39091512982523e-05
